
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Image,Time,ID,
Ellipticity (prolate),0.458245,,Surface,,,1,177,
Ellipticity (prolate),0.59955,,Surface,,,1,178,
Ellipticity (prolate),0.402032,,Surface,,,1,179,
Ellipticity (prolate),0.625121,,Surface,,,1,180,
Ellipticity (prolate),0.519318,,Surface,,,1,181,
Ellipticity (prolate),0.626526,,Surface,,,1,182,
Ellipticity (prolate),0.490643,,Surface,,,1,183,
Ellipticity (prolate),0.339884,,Surface,,,1,184,
Ellipticity (prolate),0.424027,,Surface,,,1,185,
Ellipticity (prolate),0.604128,,Surface,,,1,186,
Ellipticity (prolate),0.540647,,Surface,,,1,188,
Ellipticity (prolate),0.767311,,Surface,,,1,189,
Ellipticity (prolate),0.539582,,Surface,,,1,190,
Ellipticity (prolate),0.336776,,Surface,,,1,191,
Ellipticity (prolate),0.426334,,Surface,,,1,192,
Ellipticity (prolate),0.384838,,Surface,,,1,193,
Ellipticity (prolate),0.447361,,Surface,,,1,194,
Ellipticity (prolate),0.269707,,Surface,,,1,195,
Ellipticity (prolate),0.464212,,Surface,,,1,196,
Ellipticity (prolate),0.404187,,Surface,,,1,197,
Ellipticity (prolate),0.670865,,Surface,,,1,198,
Ellipticity (prolate),0.26489,,Surface,,,1,200,
Ellipticity (prolate),0.37247,,Surface,,,1,202,
Ellipticity (prolate),0.225741,,Surface,,,1,203,
Ellipticity (prolate),0.441015,,Surface,,,1,205,
Ellipticity (prolate),0.602699,,Surface,,,1,206,
Ellipticity (prolate),0.328831,,Surface,,,1,208,
Ellipticity (prolate),0.274098,,Surface,,,1,209,
Ellipticity (prolate),0.389511,,Surface,,,1,210,
Ellipticity (prolate),0.327524,,Surface,,,1,211,
Ellipticity (prolate),0.420249,,Surface,,,1,212,
Ellipticity (prolate),0.42847,,Surface,,,1,213,
Ellipticity (prolate),0.453093,,Surface,,,1,214,
Ellipticity (prolate),0.714798,,Surface,,,1,215,
Ellipticity (prolate),0.232716,,Surface,,,1,216,
Ellipticity (prolate),0.129234,,Surface,,,1,217,
Ellipticity (prolate),0.359054,,Surface,,,1,218,
Ellipticity (prolate),0.446103,,Surface,,,1,219,
Ellipticity (prolate),0.360006,,Surface,,,1,221,
Ellipticity (prolate),0.42002,,Surface,,,1,222,
Ellipticity (prolate),0.216414,,Surface,,,1,223,
Ellipticity (prolate),0.515597,,Surface,,,1,224,
Ellipticity (prolate),0.206977,,Surface,,,1,225,
